;OSEBuildingID;DataYear;BuildingType;PrimaryPropertyType;PropertyName;Address;City;State;ZipCode;TaxParcelIdentificationNumber;CouncilDistrictCode;Neighborhood;Latitude;Longitude;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);ListOfAllPropertyUseTypes;LargestPropertyUseType;LargestPropertyUseTypeGFA;ENERGYSTARScore;SiteEUI(kBtu/sf);SiteEUIWN(kBtu/sf);SourceEUI(kBtu/sf);SourceEUIWN(kBtu/sf);SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);SteamUse(kBtu);Electricity(kWh);Electricity(kBtu);NaturalGas(therms);NaturalGas(kBtu);DefaultData;ComplianceStatus;TotalGHGEmissions;GHGEmissionsIntensity
1477;21937;2016;Multifamily LR (1-4);Low-Rise Multifamily;Fini Condominium;6801 Greenwood Ave N;Seattle;WA;98103;2539800000;6;NORTHWEST;47.67888;-122.35563;2007;1;4;67910;0;67910;Multifamily Housing;Multifamily Housing;67910;41;28.10000038;29.39999962;79.40000153;82.19999695;1906597;2.674738965;0;475157.9063;1621239;2853.579834;285358;FALSE;Compliant;26.46;0.39
1478;21940;2016;Multifamily LR (1-4);Low-Rise Multifamily;Fireside Lanai Condominiums;901 5th Ave N;Seattle;WA;98109;2557900000;7;MAGNOLIA / QUEEN ANNE;47.62753;-122.348;1965;1;3;22208;0;22208;Multifamily Housing;Multifamily Housing;22208;46;25.70000076;28;80.69999695;87.80000305;570799.8125;2.590665004;0;167291.7969;570800;0;0;FALSE;Compliant;3.98;0.18
1479;21941;2016;Multifamily HR (10+);High-Rise Multifamily;Ellington;2801 1st Ave;Seattle;WA;98121;2559300000;7;DOWNTOWN;47.61631;-122.35209;2000;1;12;264239;29236;235003;Food Sales, Multifamily Housing, Parking;Multifamily Housing;200837;33;55.09999847;59;127;132.5;11258880;2.791489457;0;1984024.25;6769491;44893.88672;4489389;FALSE;Compliant;285.62;1.08
1480;21944;2016;Multifamily HR (10+);High-Rise Multifamily;First Hill Plaza Condominium;1301 Spring Street;Seattle;WA;98104;2560300000;3;EAST;47.61105;-122.32263;1982;1;33;231352;0;231352;Multifamily Housing;Multifamily Housing;231352;11;58.90000153;64.30000305;130.6999969;137.6999969;13631685;2.804260237;0;2232389;7616911;60147.72656;6014773;FALSE;Compliant;372.55;1.61
1482;21946;2016;Multifamily MR (5-9);Mid-Rise Multifamily;Fischer Studio Building;1519 3rd Avenue;Seattle;WA;98101;2568000000;7;DOWNTOWN;47.61019;-122.33859;1913;1;8;43884;0;43884;Multifamily Housing, Office;Multifamily Housing;31320;93;31.79999924;34;70;76.69999695;1568382.25;2.662359414;0;252670.2969;862111;7062.710449;706271;FALSE;Compliant;43.52;0.99
1485;21954;2016;Multifamily LR (1-4);Low-Rise Multifamily;ML King Family Housing;3512 S. Juneau St;Seattle;WA;98118;2224049087;2;GREATER DUWAMISH;47.55044;-122.28815;2005;1;4;32038;0;32038;Multifamily Housing;Multifamily Housing;32038;52;36.29999924;38.20000076;100.9000015;106.5;1162226.375;2.640314143;0;282214.3125;962915;1993.109985;199311;FALSE;Compliant;17.3;0.54
1487;21958;2016;Multifamily HR (10+);High-Rise Multifamily;Elektra Condo HOA;1400 Hubbell Pl;Seattle;WA;98101;2248900000;7;EAST;47.6122;-122.32976;1957;1;16;151680;0;151680;Multifamily Housing, Parking;Multifamily Housing;151680;40;67.30000305;73.30000305;106.1999969;112.4000015;10213132;2.786484867;0;755362.875;2577298;76358.32813;7635833;FALSE;Compliant;423.51;2.79
1488;21964;2016;NonResidential;Worship Facility;(ID21964) BALLARD BAPTIST CHURCH;2004 NW 63RD ST;Seattle;WA;98107;2767601245;6;BALLARD;47.67477;-122.38241;1910;1;2;21765;0;21765;Worship Facility;Worship Facility;21765;80;19.79999924;22.89999962;32.29999924;36;431390.4063;2.574151426;0;35147.10156;119922;3114.68335;311468;FALSE;Compliant;17.38;0.8
1490;22034;2016;Multifamily LR (1-4);Low-Rise Multifamily;Nelson Manor;2200 NW 58th St;Seattle;WA;98107;2767604145;6;BALLARD;47.67115;-122.38506;1985;1;4;27553;0;27553;Multifamily Housing;Multifamily Housing;27553;56;28.29999924;30.29999924;88.90000153;95.19999695;780294.875;2.612690336;0;228691.2969;780295;0;0;FALSE;Compliant;5.44;0.2
1491;22039;2016;Multifamily MR (5-9);Mid-Rise Multifamily;801 Dexter-True North;801 Dexter Avenue North;Seattle;WA;98109;2249000340;7;MAGNOLIA / QUEEN ANNE;47.62666;-122.34265;2014;1;6;305537;0;305537;Multifamily Housing, Parking;Multifamily Housing;240477;96;38.90000153;41.59999847;81.5;84.90000153;9360612;2.779965496;0;1369986.25;4674393;46862.18359;4686218;FALSE;Compliant;281.47;0.92
1492;22046;2016;Multifamily MR (5-9);Mid-Rise Multifamily;Neptune (8633);912  Dexter Avenue North;Seattle;WA;98109;2249500120;7;MAGNOLIA / QUEEN ANNE;47.6276;-122.3421;2005;1;6;373664;113092;260572;Multifamily Housing;Multifamily Housing;180788;94;41.20000076;43.29999924;67.19999695;69.40000153;7450969;2.76465477;0;607343;2072254;53787.14453;5378714;FALSE;Compliant;300.11;0.8
1493;22058;2016;Multifamily LR (1-4);Low-Rise Multifamily;Rianna I & II;810 12th Ave.;Seattle;WA;98122;2254500715;3;CENTRAL;47.60941;-122.31636;2000;1;4;209575;59804;149771;Multifamily Housing, Other, Parking;Multifamily Housing;141603;29;39.70000076;40.40000153;121.5999985;123.6999969;5950438.5;2.748289013;0;1676904.625;5721599;2288.390137;228839;FALSE;Compliant;52.04;0.25
1495;22066;2016;Multifamily LR (1-4);Low-Rise Multifamily;Helen V;1321 E Union St.;Seattle;WA;98122;2254501275;3;CENTRAL;47.61269;-122.31524;1909;1;3;24316;0;24316;Multifamily Housing, Parking;Multifamily Housing;20316;45;61.09999847;65.40000153;135.3000031;147.1000061;1241355.375;2.646135423;0;202789.0938;691916;5494.389648;549439;FALSE;Compliant;34;1.4
1496;22078;2016;NonResidential;Worship Facility;Immaculate Conception Church;820 18th Ave.;Seattle;WA;98122;2254502165;3;CENTRAL;47.6101;-122.30838;1901;1;2;26560;0;26560;Worship Facility;Worship Facility;26560;1;65.90000153;69;117.1999969;121.0999985;1751483.875;2.668655132;0;178775.7969;609983;11415.00977;1141501;FALSE;Compliant;64.88;2.44
1497;22095;2016;NonResidential;Warehouse;Culbertson Warehouse;3535 Interlake Ave North;Seattle;WA;98103;2264501050;4;LAKE UNION;47.65022;-122.34174;1957;1;2;20140;0;20140;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;20140;49;5.800000191;5.800000191;18.20000076;18.20000076;116486.6016;2.456638471;0;34140.30078;116487;0;0;FALSE;Compliant;0.81;0.04
